This text was added by using code,Progress,Responsible,Notes,Feature Owner,Moderator,Code Collaborator ID,Test Type,Current,Reviewed By,Reviewed,Tested By,Tested,Approved By,Approved,Last Approved
Synchrowave\Central.SL\App.xaml.cs,150,,,erichewi,rilehudd,,Printed Changes Only,'8a25a4,,,willmorr,'8a25a4,rilehudd,'8a25a4,'8a25a4
Synchrowave\Central.SL\Controls\DateTimeSelectionBar.cs,175,,,erichewi,erichewi,,Printed Changes Only,'22f590,,'9f0b1b,erichewi,'22f590,willmorr,'22f590,'22f590
Synchrowave\Central.SL\Controls\Segment.cs,150,,,erichewi,erichewi,,Printed Changes Only,'c90dda,,,erichewi,'c90dda,willmorr,'c90dda,'c90dda
Synchrowave\Central.SL\Controls\SharedViewManager.xaml,175,,,erichewi,stango,,No UT Paperwork,'62f2d5,,'3952e5,rilehudd,'62f2d5,stango,'62f2d5,'62f2d5
Synchrowave\Central.SL\Controls\SharedViewManager.xaml.cs,175,,,erichewi,stango,,No UT Paperwork,'af8574,rilehudd,'af8574,rilehudd,'af8574,stango,'af8574,
Synchrowave\Central.SL\Printscreen.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\Properties\AppManifest.xml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\Properties\AssemblyInfo.cs,0,rdlabs_build_user@STANGOVM.ad.selinc.com,RecSharp-Auto: New Edits Detected 12/10/2014,erichewi,rilehudd,,,'54a571,,,,,,,'05e89b
Synchrowave\Central.SL\Styles\timescaleSelectorStyle.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\Styles\ZoomZoomBarStyles.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\ViewModels\SharedViewManagerVM.cs,150,,,erichewi,stango,,No UT Paperwork,'5813ac,,,rilehudd,'5813ac,stango,'5813ac,'5813ac
Synchrowave\Central.SL\ViewModels\UpgradeSilverlightStorageToServer.cs,75,,Brought over approval from ECO 13-0011 R-release.,stango,willmorr,,,'7c746c,,'8d74ad,rilehudd,'7c746c,erichewi,'7c746c,'bb745f
Synchrowave\Central.SL\ViewModels\ViewFileVM.cs,175,,,erichewi,stango,,No UT Paperwork,'09e1fc,rilehudd,'09e1fc,rilehudd,'09e1fc,stango,'09e1fc,
Synchrowave\Central.SL\ViewModels\ViewsViewModel.cs,150,,,erichewi,erichewi,,No UT Paperwork,'1fd457,,,rilehudd,'1fd457,erichewi,'1fd457,'1fd457
Synchrowave\Central.SL\ViewModels\ViewVM.cs,150,,,erichewi,erichewi,,No UT Paperwork,'107dfb,,,willmorr,'107dfb,erichewi,'107dfb,'107dfb
Synchrowave\Central.SL\Views\DebugView.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\Views\DebugView.xaml.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\Views\MainView.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'5e21ae,,,willmorr,'5e21ae,rilehudd,'5e21ae,'5e21ae
Synchrowave\Central.SL\Views\MainView.xaml.cs,150,,,erichewi,erichewi,,No UT Paperwork,'b9f833,,,rilehudd,'b9f833,erichewi,'b9f833,'b9f833
Synchrowave\Central.SL\Views\RightPanelView.xaml,175,,,erichewi,stango,,No UT Paperwork,'e068d3,,'acc88c,rilehudd,'e068d3,stango,'e068d3,
Synchrowave\Central.SL\Views\RightPanelView.xaml.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Central.SL\Views\SplashPage.cs,175,,,erichewi,erichewi,,No UT Paperwork,'8897b8,,'c5ce02,willmorr,'8897b8,erichewi,'8897b8,'8897b8
Synchrowave\Central.SL\Views\ViewSelectorView.xaml,175,,,erichewi,rilehudd,,No UT Paperwork,'caeb19,,'eeb93a,willmorr,'caeb19,rilehudd,'caeb19,'caeb19
Synchrowave\Central.SL\Views\ViewSelectorView.xaml.cs,175,,,erichewi,stango,,No UT Paperwork,'54b416,,'eeb93a,rilehudd,'54b416,stango,'54b416,
Synchrowave\Central.SL\Views\ZoomView.xaml,150,,,erichewi,stango,,No UT Paperwork,'b3a1c4,,,willmorr,'b3a1c4,stango,'b3a1c4,'b3a1c4
Synchrowave\Central.SL\Views\ZoomView.xaml.cs,175,,,erichewi,willmorr,,No UT Paperwork,'a85bb0,,'3bb267,erichewi,'a85bb0,willmorr,'a85bb0,'a85bb0
Synchrowave\Common.New.SL\Controls\BlockInteractionsIfX.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'47623b,,,willmorr,'47623b,rilehudd,'47623b,'47623b
Synchrowave\Common.New.SL\Controls\ColorChooser.xaml,175,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,'70aecf,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\ColorChooser.xaml.cs,175,,,erichewi,stango,9723,No UT Paperwork,'c271f8,ccollab,'c271f8,willmorr,'c271f8,stango,'c271f8,'e2d8e2
Synchrowave\Common.New.SL\Controls\ColorPicker\ColorBoard.cs,150,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\ColorPicker\ColorHelper.cs,150,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\ColorPicker\ColorPicker.cs,150,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\ColorPicker\ColorPickerStyles.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\ColorPicker\PredefinedColor.cs,150,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\ColorPicker\PredefinedColorItem.cs,150,,,erichewi,willmorr,,No UT Paperwork,'135b4d,,,erichewi,'135b4d,willmorr,'135b4d,'135b4d
Synchrowave\Common.New.SL\Controls\FadingOverlay.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'c5f921,,,rilehudd,'c5f921,willmorr,'c5f921,'c5f921
Synchrowave\Common.New.SL\Controls\FadingOverlay.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'df2919,,,rilehudd,'df2919,willmorr,'df2919,'df2919
Synchrowave\Common.New.SL\Controls\Filter.cs,175,,,erichewi,stango,9723,No UT Paperwork,'84719e,,'c62103,willmorr,'84719e,stango,'84719e,'e2d8e2
Synchrowave\Common.New.SL\Controls\InteractiveBlockingMessagePanel.xaml,175,,,erichewi,rilehudd,,No UT Paperwork,'392d02,,'114b1d,willmorr,'392d02,rilehudd,'392d02,'392d02
Synchrowave\Common.New.SL\Controls\InteractiveBlockingMessagePanel.xaml.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'114b1d,willmorr,'114b1d,willmorr,'114b1d,rilehudd,'114b1d,'114b1d
Synchrowave\Common.New.SL\Controls\MenuVM.cs,150,,,erichewi,stango,,New File Full Test,'c271f8,,,willmorr,'c271f8,stango,'c271f8,'c271f8
Synchrowave\Common.New.SL\Controls\QuantitySelection.xaml,175,,,erichewi,willmorr,,No UT Paperwork,'b64798,,'0962d1,rilehudd,'b64798,willmorr,'b64798,'b64798
Synchrowave\Common.New.SL\Controls\QuantitySelection.xaml.cs,175,,,erichewi,willmorr,,No UT Paperwork,'b64798,,'0962d1,rilehudd,'b64798,willmorr,'b64798,'b64798
Synchrowave\Common.New.SL\Controls\QuantitySelectionVM.cs,150,,,erichewi,willmorr,,No UT Paperwork,'880532,,,rilehudd,'880532,willmorr,'880532,'880532
Synchrowave\Common.New.SL\Controls\QuantityWrapper.cs,175,,,erichewi,stango,,No UT Paperwork,'aa4954,,'0962d1,willmorr,'aa4954,stango,'aa4954,'aa4954
Synchrowave\Common.New.SL\Controls\RightClickMenuVM.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'fb6705,,'c271f8,willmorr,'fb6705,rilehudd,'fb6705,'fb6705
Synchrowave\Common.New.SL\Core\ExceptionExentions.cs,150,,,erichewi,willmorr,,No UT Paperwork,'787b2c,,,rilehudd,'787b2c,willmorr,'787b2c,'787b2c
Synchrowave\Common.New.SL\Core\Styles\Converters.xaml,150,,,erichewi,stango,,No UT Paperwork,'1c65a2,,,rilehudd,'1c65a2,stango,'1c65a2,
Synchrowave\Common.New.SL\Core\TreeNodeVMs\DisplaySelectionVM.cs,175,,,erichewi,willmorr,,No UT Paperwork,'114b1d,,'a2356f,rilehudd,'114b1d,willmorr,'114b1d,'114b1d
Synchrowave\Common.New.SL\Core\TreeNodeVMs\NodeBaseVM.cs,175,,,erichewi,erichewi,,No UT Paperwork,'4e8a26,,'4c6721,rilehudd,'4e8a26,erichewi,'4e8a26,'4e8a26
Synchrowave\Common.New.SL\DataPath\DataCache.cs,150,,,erichewi,stango,,No UT Paperwork,'bdde49,,,erichewi,'bdde49,stango,'bdde49,'bdde49
Synchrowave\Common.New.SL\DataPath\DataPath.cs,150,,,erichewi,stango,,,'d415a8,,,erichewi,'d415a8,stango,'d415a8,'d415a8
Synchrowave\Common.New.SL\DataPath\InstantaneousDataCache.cs,150,,,erichewi,stango,,Automated,'2a5306,,,erichewi,'2a5306,stango,'2a5306,'2a5306
Synchrowave\Common.New.SL\DataPath\Resampler.cs,150,,,erichewi,stango,,,'9ec29e,,,erichewi,'9ec29e,stango,'9ec29e,'9ec29e
Synchrowave\Common.New.SL\DataPath\TimestampedData.cs,150,,,erichewi,stango,,No UT Paperwork,'ad7a8b,,,willmorr,'ad7a8b,stango,'ad7a8b,'ad7a8b
Synchrowave\Common.New.SL\DataPath\TimeStampedListMetaData.cs,175,,,erichewi,rilehudd,,,'cd196c,,'b85f5c,willmorr,'cd196c,rilehudd,'cd196c,'cd196c
Synchrowave\Common.New.SL\ParseFunctions.cs,175,,,erichewi,willmorr,,No UT Paperwork,'c4ac20,,'873b29,stango,'c4ac20,willmorr,'c4ac20,'c4ac20
Synchrowave\Common.New.SL\ParseUtil.cs,150,,,erichewi,rilehudd,,,'afe466,,,stango,'afe466,rilehudd,'afe466,'afe466
Synchrowave\Common.New.SL\Properties\AssemblyInfo.cs,150,,,erichewi,stango,,No UT Paperwork,'5af0b4,,,erichewi,'5af0b4,rilehudd,'5af0b4,
Synchrowave\Common.New.SL\QuantityDirectory\Asset.cs,175,,,erichewi,stango,,New File Full Test,'10f34c,,'9679a9,erichewi,'10f34c,willmorr,'10f34c,'10f34c
Synchrowave\Common.New.SL\QuantityDirectory\CalculationQuantity.cs,150,,,erichewi,erichewi,,No UT Paperwork,'fbfcc2,,,stango,'fbfcc2,erichewi,'fbfcc2,'fbfcc2
Synchrowave\Common.New.SL\QuantityDirectory\Characteristics.cs,175,,,erichewi,stango,,,'e77f2d,,'8c4f2b,erichewi,'e77f2d,willmorr,'e77f2d,'e77f2d
Synchrowave\Common.New.SL\QuantityDirectory\DigitalSummary.cs,175,,,erichewi,stango,9723,No UT Paperwork,'c62103,willmorr,'c62103,willmorr,'c62103,stango,'c62103,
Synchrowave\Common.New.SL\QuantityDirectory\PhasorComponentQuantity.cs,175,,,erichewi,willmorr,,No UT Paperwork,'cd73af,,'8c4f2b,rilehudd,'cd73af,willmorr,'cd73af,'cd73af
Synchrowave\Common.New.SL\QuantityDirectory\Quantity.cs,175,,,erichewi,willmorr,,No UT Paperwork,'76759d,,'8c4f2b,erichewi,'76759d,willmorr,'76759d,'76759d
Synchrowave\Common.New.SL\QuantityDirectory\QuantityDirectory.cs,175,,,erichewi,stango,,,'98d649,,'9679a9,erichewi,'98d649,willmorr,'98d649,'98d649
Synchrowave\Common.New.SL\QuantityDirectory\StandardCharacteristics.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'3d8150,,,willmorr,'3d8150,rilehudd,'3d8150,'3d8150
Synchrowave\Common.New.SL\Time\ChartTimeCursor.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'f3dafd,,'4139d3,willmorr,'f3dafd,rilehudd,'f3dafd,'f3dafd
Synchrowave\Common.New.SL\Time\TimeCursorSeries.cs,175,,,erichewi,willmorr,,No UT Paperwork,'0a9055,,'6dd429,rilehudd,'0a9055,willmorr,'0a9055,'0a9055
Synchrowave\Common.New.SL\Time\TimeCursorToolTip.xaml,150,,,erichewi,stango,,No UT Paperwork,'9fca95,,,erichewi,'9fca95,rilehudd,'9fca95,'9fca95
Synchrowave\Common.New.SL\Time\TimeCursorToolTip.xaml.cs,150,,,erichewi,stango,,No UT Paperwork,'13d05b,,,rilehudd,'13d05b,stango,'13d05b,
Synchrowave\Common.SL\Charting\Behaviors\CrosshairBehavior.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Charting\Behaviors\MultiClickOnChartBehavior.cs,150,,,erichewi,stango,,No UT Paperwork,'70d9b4,,,rilehudd,'70d9b4,stango,'70d9b4,'70d9b4
Synchrowave\Common.SL\Charting\Behaviors\SeriesItemInfo.cs,175,,,erichewi,stango,,No UT Paperwork,'352740,rilehudd,'352740,rilehudd,'352740,stango,'352740,
Synchrowave\Common.SL\Charting\Behaviors\TooltipBehavior.cs,175,,,erichewi,stango,,No UT Paperwork,'8ca416,,'999c6f,rilehudd,'8ca416,stango,'8ca416,'8ca416
Synchrowave\Common.SL\Charting\DataChart.cs,150,,,erichewi,willmorr,,No UT Paperwork,'0a9055,,,rilehudd,'0a9055,willmorr,'0a9055,'0a9055
Synchrowave\Common.SL\Charting\DateTimeAxis.cs,175,,,erichewi,stango,,No UT Paperwork,'31854d,,'09a8d8,rilehudd,'31854d,stango,'31854d,'31854d
Synchrowave\Common.SL\Charting\Extensions.cs,175,,,erichewi,stango,,Printed Changes Only,'e77031,willmorr,'e77031,willmorr,'e77031,stango,'e77031,
Synchrowave\Common.SL\Charting\IChartYPadding.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Charting\OADateConverter.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Charting\SeriesBinding.cs,150,,,erichewi,erichewi,,No UT Paperwork,'a2dae2,,,rilehudd,'a2dae2,erichewi,'a2dae2,'a2dae2
Synchrowave\Common.SL\Charting\Styles\Theme.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Charting\Styles\XamDataChartStyles.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Charting\XAxisViewModel.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'c90dda,,'d1b663,erichewi,'c90dda,rilehudd,'c90dda,'c90dda
Synchrowave\Common.SL\Charting\YAxisHelpers.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Charting\YAxisScaleDialog.cs,150,,,erichewi,stango,,No UT Paperwork,'7eb075,,,willmorr,'7eb075,stango,'7eb075,'7eb075
Synchrowave\Common.SL\Charting\YAxisViewModel.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'6434cb,,'4cfefe,erichewi,'6434cb,rilehudd,'6434cb,'6434cb
Synchrowave\Common.SL\Controls\DateTimePicker.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Controls\DateTimePicker.xaml.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Controls\TextSearchControl.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'2761cf,,,willmorr,'2761cf,rilehudd,'2761cf,'2761cf
Synchrowave\Common.SL\Controls\TextSearchControl.xaml.cs,175,,,erichewi,willmorr,,No UT Paperwork,'89ba9f,,421dcf,rilehudd,'89ba9f,willmorr,'89ba9f,'89ba9f
Synchrowave\Common.SL\Core\Constants.cs,150,,,erichewi,stango,,No UT Paperwork,'2d7ca5,,,rilehudd,'2d7ca5,stango,'2d7ca5,'2d7ca5
Synchrowave\Common.SL\Core\Fonts\INR____.TTF,150,,,erichewi,erichewi,,No UT Paperwork,'d75576,,,willmorr,'d75576,erichewi,'d75576,'d75576
Synchrowave\Common.SL\Core\Messages\ZoomMessages.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\Models\ComputedQuantityHelper.cs,150,,,erichewi,stango,,New File Full Test,'0717ec,,,erichewi,'0717ec,stango,'0717ec,'0717ec
Synchrowave\Common.SL\Core\Models\DataAcquisition.cs,175,,,erichewi,stango,,Printed Changes Only,'0717ec,,'d1b663,erichewi,'0717ec,stango,'0717ec,'0717ec
Synchrowave\Common.SL\Core\Models\DataAcquisitionTypes.cs,150,,,erichewi,stango,,No UT Paperwork,'5651cf,,,erichewi,'5651cf,stango,'5651cf,'5651cf
Synchrowave\Common.SL\Core\Models\DataManagement.cs,150,,,erichewi,stango,,,'50abe2,,,ericball,'50abe2,stango,'50abe2,'50abe2
Synchrowave\Common.SL\Core\Models\InstantaneousDataAcquisition.cs,150,,,erichewi,stango,,New File Full Test,'434050,,,erichewi,'434050,stango,'434050,'434050
Synchrowave\Common.SL\Core\Models\PolledDataAcquisition.cs,150,,,erichewi,willmorr,,No UT Paperwork,'61401a,,,erichewi,'61401a,willmorr,'61401a,'61401a
Synchrowave\Common.SL\Core\Regions\RegionManager.cs,150,,,erichewi,stango,,No UT Paperwork,'0ea658,,,rilehudd,'0ea658,stango,'0ea658,
Synchrowave\Common.SL\Core\Regions\Regions.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\Styles\ButtonStyles.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'ac44c3,,,rilehudd,'ac44c3,willmorr,'ac44c3,'ac44c3
Synchrowave\Common.SL\Core\Styles\CollapsingGridSplitterStyle.xaml,150,,Move and using statements only.,erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\Styles\ControlStyles.xaml,150,,,erichewi,stango,,No UT Paperwork,'3a82a8,,,willmorr,'3a82a8,stango,'3a82a8,
Synchrowave\Common.SL\Core\Styles\Theme.xaml,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\Utilities\AngleReferenceListener.cs,175,,,erichewi,willmorr,,No UT Paperwork,'d3fe16,,'a52790,erichewi,'d3fe16,willmorr,'d3fe16,'d3fe16
Synchrowave\Common.SL\Core\Utilities\BrowserConsoleLog.cs,175,,,erichewi,stango,6555,No UT Paperwork,'51f47d,willmorr,'51f47d,willmorr,'51f47d,stango,'51f47d,
Synchrowave\Common.SL\Core\Utilities\DataPoint.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\Utilities\DateTimeConverters.cs,175,,,erichewi,erichewi,,New File Full Test,'b3a1c4,,'9f0b1b,willmorr,'b3a1c4,erichewi,'b3a1c4,'b3a1c4
Synchrowave\Common.SL\Core\Utilities\ITimestamped.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\Utilities\Licensing.cs,150,,,erichewi,stango,,,'50abe2,,,ericball,'50abe2,stango,'50abe2,'50abe2
Synchrowave\Common.SL\Core\Utilities\Listener.cs,150,,,erichewi,willmorr,,No UT Paperwork,'d3fe16,,,erichewi,'d3fe16,willmorr,'d3fe16,'d3fe16
Synchrowave\Common.SL\Core\Utilities\PowerQuantityListener.cs,150,,,erichewi,willmorr,,No UT Paperwork,'d3fe16,,,erichewi,'d3fe16,willmorr,'d3fe16,'d3fe16
Synchrowave\Common.SL\Core\Utilities\ZoomLevels.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'feee17,,,willmorr,'feee17,rilehudd,'feee17,'feee17
Synchrowave\Common.SL\Core\ViewModels\AssetQuantitySelectionViewModel.cs,150,,,erichewi,willmorr,,No UT Paperwork,'d3fe16,,,erichewi,'d3fe16,willmorr,'d3fe16,'d3fe16
